Bilan financier;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Mois;Type;Categorie;Montant;;;;
août-23;revenue;rentree001;65?000 F?CFA;;;;
août-23;revenue;rentree002;35?000 F?CFA;;;;
août-23;depense;habillement;15?000 F?CFA;;;;
août-23;depense;dette 002;5?000 F?CFA;;;;
août-23;depense;dette001;5?000 F?CFA;;;;
août-23;depense;dette003;15?000 F?CFA;;;;
août-23;depense;abonnement ;15?000 F?CFA;;;;
août-23;depense;habillement;20?000 F?CFA;;;;
août-23;depense;transport;30?000 F?CFA;;;;
sept-23;revenue;rentree001;65?000 F?CFA;;;;
sept-23;revenue;rentree;150?000 F?CFA;;;;
sept-23;depense;transport;60?000 F?CFA;;;;
sept-23;depense;dette004;5?000 F?CFA;;;;
sept-23;epargne;tontine;30?000 F?CFA;;;;
sept-23;depense;famille;90?000 F?CFA;;;;
sept-23;depense;dette003;10?000 F?CFA;;;;
oct-23;revenue;rentree001;65?000 F?CFA;;;;
oct-23;revenue;rentree;150?000 F?CFA;;;;
oct-23;depense;transport;30?000 F?CFA;;;;
oct-23;epargne;tontine;30?000 F?CFA;;;;
oct-23;depense;dette002;20?000 F?CFA;;;;
oct-23;depense;famille;50?000 F?CFA;;;;
oct-23;depense;permis;25?000 F?CFA;;;;
oct-23;depense;abonnement ;15?000 F?CFA;;;;
oct-23;depense;detterare;10?000 F?CFA;;;;
nov-23;revenue;rentree001;65?000 F?CFA;;;;
nov-23;revenue;rentree00;30?000 F?CFA;;;;
nov-23;revenue;rentree;150?000 F?CFA;;;;
nov-23;depense;dette001;10?000 F?CFA;;;;
nov-23;depense;dette002;20?000 F?CFA;;;;
nov-23;depense;transport;60?000 F?CFA;;;;
nov-23;depense;famille;55?000 F?CFA;;;;
nov-23;depense;abonnement ;15?000 F?CFA;;;;
nov-23;epargne;tontine;30?000 F?CFA;;;;
déc-23;revenue;rentree00;30?000 F?CFA;;;;
déc-23;revenue;rentree001;65?000 F?CFA;;;;
déc-23;revenue;rentree;150?000 F?CFA;;;;
déc-23;epargne;tontine;30?000 F?CFA;;;;
déc-23;depense;transport;60?000 F?CFA;;;;
déc-23;depense;abonnement ;15?000 F?CFA;;;;
déc-23;depense;famille;70?000 F?CFA;;;;
déc-23;depense;dette002;30?000 F?CFA;;;;
janvier-24;revenue;rentree00;30?000 F?CFA;;;;
janvier-24;revenue;rentree003;35?000 F?CFA;;;;
janvier-24;revenue;rentree001;65?000 F?CFA;;;;
janvier-24;revenue;rentree;160?000 F?CFA;;;;
janvier-24;depense;eco-engagement;5?000 F?CFA;;;;
janvier-24;epargne;tontine;30?000 F?CFA;;;;
janvier-24;depense;transport;65?000 F?CFA;;;;
janvier-24;depense;abonnement ;15?000 F?CFA;;;;
janvier-24;depense;famille;55?000 F?CFA;;;;
janvier-24;depense;dette003;5?000 F?CFA;;;;
janvier-24;depense;dette002;20?000 F?CFA;;;;
févr-24;revenue;rentree001;65?000 F?CFA;;;;
févr-24;revenue;rentree003;40?000 F?CFA;;;;
févr-24;revenue;rentree00;30?000 F?CFA;;;;
févr-24;revenue;rentree;150?000 F?CFA;;;;
févr-24;depense;transport;65?000 F?CFA;;;;
févr-24;depense;eco-engagement;5?000 F?CFA;;;;
févr-24;epargne;tontine;30?000 F?CFA;;;;
févr-24;depense;detterare;40?000 F?CFA;;;;
févr-24;depense;famille;55?000 F?CFA;;;;
févr-24;depense;dette003;2?000 F?CFA;;;;
févr-24;depense;abonnement ;15?000 F?CFA;;;;
févr-24;depense;dette002;40?000 F?CFA;;;;
mars-24;revenue;rentree00;30?000 F?CFA;;;;
mars-24;revenue;rentree001;65?000 F?CFA;;;;
mars-24;revenue;rentree;150?000 F?CFA;;;;
mars-24;revenue;rentree003;40?000 F?CFA;;;;
mars-24;depense;couture;19?500 F?CFA;;;;
mars-24;depense;transport;65?000 F?CFA;;;;
mars-24;depense;dette002;30?000 F?CFA;;;;
mars-24;depense;famille;50?000 F?CFA;;;;
mars-24;depense;habillement;10?000 F?CFA;;;;
mars-24;depense;abonnement ;15?000 F?CFA;;;;
mars-24;depense;eco-engagement;5?000 F?CFA;;;;
mars-24;epargne;tontine;30?000 F?CFA;;;;
avril-24;revenue;rentree00;30?000 F?CFA;;;;
avril-24;revenue;rentree004;50?000 F?CFA;;;;
avril-24;revenue;rentree003;25?000 F?CFA;;;;
avril-24;revenue;rentree001;65?000 F?CFA;;;;
avril-24;revenue;rentree;150?000 F?CFA;;;;
avril-24;epargne;tontine;35?000 F?CFA;;;;
avril-24;depense;transport;65?000 F?CFA;;;;
avril-24;depense;famille;100?000 F?CFA;;;;
avril-24;depense;ordinateur;35?000 F?CFA;;;;
avril-24;depense;dette002;20?000 F?CFA;;;;
avril-24;depense;detterare;1?500 F?CFA;;;;
avril-24;depense;loisir;5?000 F?CFA;;;;
avril-24;depense;abonnement ;15?000 F?CFA;;;;
mai-24;revenue;rentree004;50?000 F?CFA;;;;
mai-24;revenue;rentree001;65?000 F?CFA;;;;
mai-24;revenue;rentree003;30?000 F?CFA;;;;
mai-24;revenue;rentree00;30?000 F?CFA;;;;
mai-24;revenue;rentree;15?000 F?CFA;;;;
mai-24;revenue;come-back;70?000 F?CFA;;;;
mai-24;depense;detterare;20?000 F?CFA;;;;
mai-24;depense;transport;65?000 F?CFA;;;;
mai-24;depense;eco-engagement;5?000 F?CFA;;;;
mai-24;epargne;tontine;30?000 F?CFA;;;;
mai-24;depense;dette002;47?000 F?CFA;;;;
mai-24;depense;famille;57?000 F?CFA;;;;
mai-24;depense;abonnement ;15?000 F?CFA;;;;
juin-24;revenue;rentree001;65?000 F?CFA;;;;
juin-24;revenue;rentree004;50?000 F?CFA;;;;
juin-24;revenue;rentree00;30?000 F?CFA;;;;
juin-24;revenue;rentree;150?000 F?CFA;;;;
juin-24;epargne;tontine;30?000 F?CFA;;;;
juin-24;depense;abonnement ;15?000 F?CFA;;;;
juin-24;depense;famille;57?000 F?CFA;;;;
juin-24;depense;dette002;10?000 F?CFA;;;;
juin-24;depense;detterare;5?000 F?CFA;;;;
septembre-24;revenue;rentree004;50?000 F?CFA;;;;
septembre-24;revenue;rentree;150?000 F?CFA;;;;
septembre-24;epargne;tontine;30?000 F?CFA;;;;
septembre-24;depense;dette003;10?000 F?CFA;;;;
septembre-24;depense;abonnement ;15?000 F?CFA;;;;
septembre-24;depense;transport;50?000 F?CFA;;;;
septembre-24;depense;loisir;10?000 F?CFA;;;;
septembre-24;depense;N abonnement;2?500 F?CFA;;;;
septembre-24;depense;dette002;25?000 F?CFA;;;;
septembre-24;depense;famille;60?000 F?CFA;;;;
septembre-24;depense;ordinateur;20?000 F?CFA;;;;
octobre-24;revenue;rentree004;50?000 F?CFA;;;;
octobre-24;revenue;rentree;150?000 F?CFA;;;;
octobre-24;depense;dette003;10?000 F?CFA;;;;
octobre-24;depense;abonnement ;15?000 F?CFA;;;;
octobre-24;depense;famille;65?000 F?CFA;;;;
octobre-24;depense;loisir;10?000 F?CFA;;;;
octobre-24;depense;dette002;15?000 F?CFA;;;;
octobre-24;depense;eco-engagement;5?000 F?CFA;;;;
octobre-24;epargne;tontine;30?000 F?CFA;;;;
novembre-24;revenue;rentree004;50?000 F?CFA;;;;
novembre-24;revenue;rentree00;30?000 F?CFA;;;;
novembre-24;revenue;rentree005;50?000 F?CFA;;;;
novembre-24;revenue;rentree;150?000 F?CFA;;;;
novembre-24;depense;abonnement ;15?000 F?CFA;;;;
novembre-24;depense;dette003;15?000 F?CFA;;;;
novembre-24;epargne;tontine;30?000 F?CFA;;;;
novembre-24;depense;N abonnement;2?500 F?CFA;;;;
novembre-24;depense;dette002;5?000 F?CFA;;;;
novembre-24;depense;famille;80?000 F?CFA;;;;
novembre-24;depense;loisir;32?000 F?CFA;;;;
décembre-24;revenue;rentree004;50?000 F?CFA;;;;
décembre-24;revenue;rentree00;30?000 F?CFA;;;;
décembre-24;revenue;rentree005;50?000 F?CFA;;;;
décembre-24;revenue;rentree;150?000 F?CFA;;;;
décembre-24;depense;abonnement ;15?000 F?CFA;;;;
décembre-24;depense;eco-engagement;5?000 F?CFA;;;;
décembre-24;epargne;tontine;30?000 F?CFA;;;;
décembre-24;depense;loisir;24?000 F?CFA;;;;
décembre-24;depense;dette003;5?000 F?CFA;;;;
décembre-24;depense;N abonnement;5?000 F?CFA;;;;
décembre-24;depense;dette002;20?000 F?CFA;;;;
décembre-24;depense;famille;60?000 F?CFA;;;;
janvier-25;revenue;rentree005;50?000 F?CFA;;;;
janvier-25;revenue;rentree00;30?000 F?CFA;;;;
janvier-25;revenue;rentree;150?000 F?CFA;;;;
janvier-25;depense;abonnement ;30?000 F?CFA;;;;
janvier-25;epargne;tontine;30?000 F?CFA;;;;
janvier-25;depense;famille;60?000 F?CFA;;;;
janvier-25;depense;N abonnement;5?000 F?CFA;;;;
janvier-25;depense;dette003;5?000 F?CFA;;;;
janvier-25;depense;loisir;15?000 F?CFA;;;;
janvier-25;depense;dette002;50?000 F?CFA;;;;
février-25;revenue;rentree005;50?000 F?CFA;;;;
février-25;revenue;rentree006;60?000 F?CFA;;;;
février-25;revenue;rentree00;30?000 F?CFA;;;;
février-25;revenue;rentree007;40?000 F?CFA;;;;
février-25;revenue;rentree;150?000 F?CFA;;;;
février-25;depense;abonnement ;15?000 F?CFA;;;;
février-25;depense;loisir;20?000 F?CFA;;;;
février-25;depense;transport;60?000 F?CFA;;;;
février-25;depense;famille;80?000 F?CFA;;;;
février-25;depense;habillement;10?000 F?CFA;;;;
février-25;epargne;tontine;30?000 F?CFA;;;;
février-25;depense;eco-engagement;16?000 F?CFA;;;;
février-25;depense;detterare;2?000 F?CFA;;;;
février-25;depense;engagement ;5?000 F?CFA;;;;
février-25;depense;N abonnement;5?000 F?CFA;;;;
mars-25;revenue;rentree005;50?000 F?CFA;;;;
mars-25;revenue;rentree006;60?000 F?CFA;;;;
mars-25;revenue;rentree007;35?000 F?CFA;;;;
mars-25;revenue;rentree00;30?000 F?CFA;;;;
mars-25;revenue;rentree;150?000 F?CFA;;;;
mars-25;depense;abonnement ;15?000 F?CFA;;;;
mars-25;depense;engagement ;5?000 F?CFA;;;;
mars-25;depense;N abonnement;5?000 F?CFA;;;;
mars-25;depense;dette002;10?000 F?CFA;;;;
mars-25;depense;transport;60?000 F?CFA;;;;
mars-25;depense;loisir;10?000 F?CFA;;;;
mars-25;depense;famille;60?000 F?CFA;;;;
mars-25;epargne;tontine;30?000 F?CFA;;;;
avril-25;revenue;rentree006;25?000 F?CFA;;;;
avril-25;revenue;rentree005;50?000 F?CFA;;;;
avril-25;revenue;rentree00;30?000 F?CFA;;;;
avril-25;revenue;rentree007;30?000 F?CFA;;;;
avril-25;revenue;rentree;150?000 F?CFA;;;;
avril-25;depense;transport;60?000 F?CFA;;;;
avril-25;depense;N abonnement;5?000 F?CFA;;;;
avril-25;depense;abonnement ;15?000 F?CFA;;;;
avril-25;epargne;tontine;30?000 F?CFA;;;;
avril-25;depense;engagement ;5?000 F?CFA;;;;
avril-25;depense;famille;60?000 F?CFA;;;;
avril-25;depense;dette002;55?000 F?CFA;;;;
avril-25;depense;habillement;15?000 F?CFA;;;;
avril-25;depense;spot;20?000 F?CFA;;;;
mai-25;revenue;rentree006;60?000 F?CFA;;;;
mai-25;revenue;rentree;150?000 F?CFA;;;;
mai-25;revenue;rentree00;30?000 F?CFA;;;;
mai-25;revenue;rentree005;50?000 F?CFA;;;;
mai-25;revenue;rentree007;35?000 F?CFA;;;;
mai-25;depense;transport;35?000 F?CFA;;;;
mai-25;depense;abonnement ;15?000 F?CFA;;;;
mai-25;depense;famille;75?000 F?CFA;;;;
mai-25;epargne;tontine;30?000 F?CFA;;;;
mai-25;depense;engagement ;5?000 F?CFA;;;;
mai-25;depense;dette003;25?000 F?CFA;;;;
mai-25;depense;N abonnement;5?000 F?CFA;;;;
mai-25;depense;couture;12?000 F?CFA;;;;
mai-25;depense;loisir;36?000 F?CFA;;;;
mai-25;depense;dette002;42?000 F?CFA;;;;
juin-25;revenue;rentree005;50?000 F?CFA;;;;
juin-25;revenue;rentree00;30?000 F?CFA;;;;
juin-25;revenue;rentree;150?000 F?CFA;;;;
juin-25;epargne;tontine;30?000 F?CFA;;;;
juin-25;depense;transport;5?000 F?CFA;;;;
juin-25;depense;abonnement ;15?000 F?CFA;;;;
juin-25;depense;famille;72?000 F?CFA;;;;
juin-25;depense;N abonnement;5?000 F?CFA;;;;
juin-25;depense;engagement ;5?000 F?CFA;;;;
juin-25;depense;dette002;20?000 F?CFA;;;;
juillet-25;revenue;rentree;150?000 F?CFA;;;;
juillet-25;depense;loisir;22?000 F?CFA;;;;
juillet-25;depense;abonnement ;15?000 F?CFA;;;;
juillet-25;depense;N abonnement;5?000 F?CFA;;;;
juillet-25;depense;famille;60?000 F?CFA;;;;
juillet-25;depense;dette002;10?000 F?CFA;;;;
août-25;revenue;rentree;150?000 F?CFA;;;;
août-25;depense;N abonnement;5?000 F?CFA;;;;
août-25;depense;abonnement ;15?000 F?CFA;;;;
août-25;depense;loisir;44?000 F?CFA;;;;
août-25;depense;famille;60?000 F?CFA;;;;
août-25;depense;dette002;10?000 F?CFA;;;;
septembre-25;revenue;rentree007;26?000 F?CFA;;;;
septembre-25;revenue;rentree;150?000 F?CFA;;;;
septembre-25;depense;famille;55?000 F?CFA;;;;
septembre-25;depense;abonnement ;15?000 F?CFA;;;;
septembre-25;depense;ordinateur;60?000 F?CFA;;;;
septembre-25;depense;transport;40?000 F?CFA;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
